#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_002942.5	29788	30330	-	19831590	-	lpg0023	YP_094078.1	180	-	hypothetical protein lpg0023
chr	NC_002942.5	30477	30902	-	19831591	-	lpg0024	YP_094079.1	141	-	hemin binding protein Hbp
chr	NC_002942.5	31042	31614	-	19831592	pagP	lpg0025	YP_094080.1	190	-	palmitoyl transferase
chr	NC_002942.5	31774	33165	+	19831593	-	lpg0026	YP_094081.1	463	-	amino acid permease
chr	NC_002942.5	33175	34170	-	19831594	pit	lpg0027	YP_094082.1	331	-	low affinity inorganic phosphate transporter
chr	NC_002942.5	34187	34900	-	19831595	-	lpg0028	YP_094083.1	237	-	ubiquinone biosynthesis protein COQ7
chr	NC_002942.5	35024	37981	+	19831596	rre41	lpg0029	YP_094084.1	985	-	sensory box protein
chr	NC_002942.5	38093	39007	-	19831597	-	lpg0030	YP_094085.1	304	-	hypothetical protein lpg0030
chr	NC_002942.5	38113	38232	+	19831598	-	lpg0031	YP_094086.1	39	-	hypothetical protein lpg0031
chr	NC_002942.5	39042	40235	-	19831599	-	lpg0032	YP_094087.1	397	-	leucine aminopeptidase
chr	NC_002942.5	40298	41323	-	19831600	-	lpg0033	YP_094088.1	341	-	hypothetical protein lpg0033
chr	NC_002942.5	41587	42348	+	19831601	-	lpg0034	YP_094089.1	253	-	hypothetical protein lpg0034
chr	NC_002942.5	42476	42832	+	19831602	-	lpg0035	YP_094090.1	118	-	hypothetical protein lpg0035
chr	NC_002942.5	42891	43613	-	19831603	-	lpg0036	YP_094091.1	240	-	hypothetical protein lpg0036
chr	NC_002942.5	43827	44570	-	19831604	artJ	lpg0037	YP_094092.1	247	-	arginine ABC transporter substrate-binding protein
chr	NC_002942.5	44731	46254	-	19831605	legA10	lpg0038	YP_094093.1	507	-	ankyrin repeat-containing protein
chr	NC_002942.5	46638	46994	+	19831606	-	lpg0039	YP_094094.1	118	-	hypothetical protein lpg0039
chr	NC_002942.5	47016	48011	-	19831607	-	lpg0040	YP_094095.1	331	-	hypothetical protein lpg0040
chr	NC_002942.5	48185	50431	+	19831608	-	lpg0041	YP_094096.1	748	-	hypothetical protein lpg0041
chr	NC_002942.5	50444	51145	+	19831609	-	lpg0042	YP_094097.1	233	-	hypothetical protein lpg0042
chr	NC_002942.5	51460	52320	-	19831610	-	lpg0043	YP_094098.1	286	-	hypothetical protein lpg0043
chr	NC_002942.5	53049	53924	+	19831611	-	lpg0044	YP_094099.1	291	-	hypothetical protein lpg0044
chr	NC_002942.5	54060	54272	-	19831612	-	lpg0045	YP_094100.1	70	-	hypothetical protein lpg0045
chr	NC_002942.5	54482	54880	+	19831613	-	lpg0046	YP_094101.1	132	-	hypothetical protein lpg0046
chr	NC_002942.5	55046	55741	+	19831614	-	lpg0047	YP_094102.1	231	-	chloramphenicol acetyltransferase
chr	NC_002942.5	55738	56616	+	19831615	-	lpg0048	YP_094103.1	292	-	acetyltransferase
chr	NC_002942.5	56651	57964	+	19831616	-	lpg0049	YP_094104.1	437	-	amino acid transporter permease
chr	NC_002942.5	58028	58894	+	19831617	-	lpg0050	YP_094105.1	288	-	hypothetical protein lpg0050
chr	NC_002942.5	59382	59864	-	19831618	-	lpg0051	YP_094106.1	160	-	hypothetical protein lpg0051
chr	NC_002942.5	60077	60970	-	19831619	prpB	lpg0052	YP_094107.1	297	-	2-methylisocitrate lyase
chr	NC_002942.5	61096	61830	-	19831620	-	lpg0053	YP_094108.1	244	-	transferase
chr	NC_002942.5	61823	62557	-	19831621	-	lpg0054	YP_094109.1	244	-	hypothetical protein lpg0054
chr	NC_002942.5	62628	63536	+	19831622	-	lpg0055	YP_094110.1	302	-	LysR family transcriptional regulator
chr	NC_002942.5	63669	64400	+	19831623	-	lpg0056	YP_094111.1	243	-	hypothetical protein lpg0056
chr	NC_002942.5	64673	65077	-	19831624	-	lpg0057	YP_094112.1	134	-	MerR family transcriptional regulator
chr	NC_002942.5	65147	65890	+	19831625	-	lpg0058	YP_094113.1	247	-	hypothetical protein lpg0058
chr	NC_002942.5	66075	67181	+	19831626	-	lpg0059	YP_094114.1	368	-	hypothetical protein lpg0059
chr	NC_002942.5	68096	68767	+	19831627	-	lpg0060	YP_094115.1	223	-	methylase
chr	NC_002942.5	68797	69975	+	19831628	-	lpg0061	YP_094116.1	392	-	multidrug resistance protein
chr	NC_002942.5	69976	71334	-	19831629	-	lpg0062	YP_094117.1	452	-	hypothetical protein lpg0062
chr	NC_002942.5	71489	72676	+	19831630	aroH	lpg0063	YP_094118.1	395	-	phospho-2-dehydro-3-deoxyheptonate aldolase
chr	NC_002942.5	72782	73708	+	19831631	-	lpg0064	YP_094119.1	308	-	hypothetical protein lpg0064
chr	NC_002942.5	73714	74535	+	19831632	-	lpg0065	YP_094120.1	273	-	hypothetical protein lpg0065
chr	NC_002942.5	74426	75856	+	19831633	-	lpg0066	YP_094121.1	476	-	phosphoribosylglycinamide synthetase ATP-grasp domain-containing protein
chr	NC_002942.5	75853	76467	+	19831634	-	lpg0067	YP_094122.1	204	-	hypothetical protein lpg0067
chr	NC_002942.5	76451	77398	+	19831635	-	lpg0068	YP_094123.1	315	-	transmembrane protein
chr	NC_002942.5	77642	78820	-	19831637	aatA	lpg0070	YP_094124.1	392	-	aspartate aminotransferase
chr	NC_002942.5	77828	78052	+	19831638	-	lpg0071	YP_094125.1	74	-	hypothetical protein lpg0071
chr	NC_002942.5	78867	80858	+	19831639	uvrB	lpg0072	YP_094126.1	663	-	excinuclease ABC subunit B
chr	NC_002942.5	81213	82814	+	19831640	-	lpg0073	YP_094127.1	533	-	diguanylate cyclase/phosphodiesterase
chr	NC_002942.5	82906	84477	-	19831641	-	lpg0074	YP_094128.1	523	-	glutamate synthase
chr	NC_002942.5	84555	84869	-	19831642	-	lpg0075	YP_094129.1	104	-	hypothetical protein lpg0075
chr	NC_002942.5	85025	85606	+	19831643	-	lpg0076	YP_094130.1	193	-	hypothetical protein lpg0076
chr	NC_002942.5	85693	87021	+	19831644	pepP	lpg0077	YP_094131.1	442	-	hypothetical protein lpg0077
chr	NC_002942.5	87011	88213	+	19831645	ubiH	lpg0078	YP_094132.1	400	-	2-octaprenyl-6-methoxyphenol hydroxylase
chr	NC_002942.5	88210	89373	+	19831646	-	lpg0079	YP_094133.1	387	-	2-polyprenyl-6-methoxyphenol 4-hydroxylase
chr	NC_002942.5	89551	90318	+	19831647	-	lpg0080	YP_094134.1	255	-	hypothetical protein lpg0080
chr	NC_002942.5	90308	91633	-	19831648	-	lpg0081	YP_094135.1	441	-	hypothetical protein lpg0081
chr	NC_002942.5	91808	92371	+	19831649	-	lpg0082	YP_094136.1	187	-	hypothetical protein lpg0082
chr	NC_002942.5	92368	93315	-	19831650	-	lpg0083	YP_094137.1	315	-	glutathione synthase/ribosomal protein S6 modification protein
chr	NC_002942.5	93312	94835	-	19831651	-	lpg0084	YP_094138.1	507	-	hypothetical protein lpg0084
chr	NC_002942.5	94825	95352	-	19831652	-	lpg0085	YP_094139.1	175	-	hypothetical protein lpg0085
chr	NC_002942.5	95581	97527	+	19831653	-	lpg0086	YP_094140.1	648	-	hypothetical protein lpg0086
chr	NC_002942.5	97493	98083	-	19831654	-	lpg0087	YP_094141.1	196	-	hypothetical protein lpg0087
chr	NC_002942.5	98310	99086	-	19831655	-	lpg0088	YP_094142.1	258	-	glutamine ABC transporter
chr	NC_002942.5	99132	99578	-	19831656	-	lpg0089	YP_094143.1	148	-	hypothetical protein lpg0089
chr	NC_002942.5	99689	103663	+	19831657	-	lpg0090	YP_094144.1	1324	-	hypothetical protein lpg0090
chr	NC_002942.5	103878	104342	+	19831658	-	lpg0091	YP_094145.1	154	-	hypothetical protein lpg0091
chr	NC_002942.5	104748	106928	+	19831659	vacB	lpg0092	YP_094146.1	726	-	(exo)ribonuclease R
chr	NC_002942.5	106894	107670	+	19831660	-	lpg0093	YP_094147.1	258	-	tRNA/rRNA methyltransferase
chr	NC_002942.5	107663	108313	+	19831661	rpiA	lpg0094	YP_094148.1	216	-	ribose-5-phosphate isomerase A
chr	NC_002942.5	108377	109756	+	19831662	-	lpg0095	YP_094149.1	459	-	cytosolic IMP-GMP specific 5\'-nucleotidase
chr	NC_002942.5	109946	111139	+	19831663	-	lpg0096	YP_094150.1	397	-	hypothetical protein lpg0096
chr	NC_002942.5	111300	111641	+	19831664	-	lpg0097	YP_094151.1	113	-	alkylphosphonate uptake protein PhnA
chr	NC_002942.5	111756	112208	+	19831665	-	lpg0098	YP_094152.1	150	-	two component sensor and regulator, histidine kinase response regulator
chr	NC_002942.5	112238	114928	-	19831666	polI	lpg0099	YP_094153.1	896	-	DNA polymerase I
chr	NC_002942.5	114931	116001	-	19831667	-	lpg0100	YP_094154.1	356	-	UDP-3-O
chr	NC_002942.5	116250	117032	+	19831668	-	lpg0101	YP_094155.1	260	-	hypothetical protein lpg0101
chr	NC_002942.5	117029	118258	-	19831669	fabF	lpg0102	YP_094156.1	409	-	3-oxoacyl-ACP synthase
chr	NC_002942.5	118383	119243	-	19831670	vipF	lpg0103	YP_094157.1	286	-	GNAT family acetyltransferase
chr	NC_002942.5	119362	119937	-	19831671	-	lpg0104	YP_094158.1	191	-	peptide methionine sulfoxide reductase
chr	NC_002942.5	120045	120641	-	19831672	-	lpg0105	YP_094159.1	198	-	cytochrome oxidase-like
chr	NC_002942.5	120944	122224	-	19831673	-	lpg0106	YP_094160.1	426	-	xanthine/uracil permease
chr	NC_002942.5	122242	123048	-	19831674	-	lpg0107	YP_094161.1	268	-	hypothetical protein lpg0107
chr	NC_002942.5	122311	122415	+	19831675	-	lpg0108	YP_094162.1	34	-	hypothetical protein lpg0108
chr	NC_002942.5	123147	123416	-	19831676	-	lpg0109	YP_094163.1	89	-	hypothetical protein lpg0109
chr	NC_002942.5	124044	125846	+	19831677	-	lpg0110	YP_094164.1	600	-	hypothetical protein lpg0110
chr	NC_002942.5	125843	126883	+	19831678	fdfT	lpg0111	YP_094165.1	346	-	squalene and phytoene synthases
chr	NC_002942.5	127189	130458	-	19831679	-	lpg0112	YP_094166.1	1089	-	hypothetical protein lpg0112
chr	NC_002942.5	130773	132017	-	19831680	yuxH	lpg0113	YP_094167.1	414	-	hypothetical protein lpg0113
chr	NC_002942.5	132222	133676	-	19831681	-	lpg0114	YP_094168.1	484	-	glycine dehydrogenase subunit 2
chr	NC_002942.5	133670	133978	-	19831682	-	lpg0115	YP_094169.1	102	-	hypothetical protein lpg0115
chr	NC_002942.5	133978	135348	-	19831683	-	lpg0116	YP_094170.1	456	-	glycine dehydrogenase subunit 1
chr	NC_002942.5	135351	135728	-	19831684	gcvH	lpg0117	YP_094171.1	125	-	glycine cleavage system protein H
chr	NC_002942.5	135762	136844	-	19831685	gcvT	lpg0118	YP_094172.2	360	-	glycine cleavage system aminomethyltransferase T
chr	NC_002942.5	136967	137446	+	19831686	-	lpg0119	YP_094173.1	159	-	hypothetical protein lpg0119
chr	NC_002942.5	137421	137951	-	19831687	-	lpg0120	YP_094174.1	176	-	IcmL-like protein
chr	NC_002942.5	138448	140187	+	19831688	-	lpg0121	YP_094175.1	579	-	ABC transporter permease
chr	NC_002942.5	140195	141493	+	19831689	-	lpg0122	YP_094176.1	432	-	ABC transporter ATP-binding protein
chr	NC_002942.5	141570	142223	-	19831690	dsbA	lpg0123	YP_094177.1	217	-	thiol:disulfide interchange protein DsbA
chr	NC_002942.5	142195	142797	-	19831691	-	lpg0124	YP_094178.1	200	-	cytochrome c4
chr	NC_002942.5	142872	143474	+	19831692	engB	lpg0125	YP_094179.1	200	-	ribosome biogenesis GTP-binding protein YsxC
chr	NC_002942.5	143588	146896	+	19831693	-	lpg0126	YP_094180.1	1102	-	hypothetical protein lpg0126
chr	NC_002942.5	146993	148876	-	19831694	acsB	lpg0127	YP_094181.1	627	-	acetyl-coenzyme A synthetase
chr	NC_002942.5	148878	149795	-	19831695	-	lpg0128	YP_094182.1	305	-	3-hydroxyisobutyrate dehydrogenase
chr	NC_002942.5	149798	151324	-	19831696	mmsA	lpg0129	YP_094183.1	508	-	methylmalonate-semialdehyde dehydrogenase
chr	NC_002942.5	151762	154230	+	19831697	-	lpg0130	YP_094184.1	822	-	hypothetical protein lpg0130
chr	NC_002942.5	154334	155065	-	19831698	dapB	lpg0131	YP_094185.1	243	-	dihydrodipicolinate reductase
chr	NC_002942.5	155245	155430	-	19831699	-	lpg0132	YP_094186.1	61	-	hypothetical protein lpg0132
chr	NC_002942.5	155787	156479	+	19831700	proQm	lpg0133	YP_094187.1	230	-	activator of ProP osmoprotectant transporter
chr	NC_002942.5	156480	157550	+	19831701	-	lpg0134	YP_094188.1	356	-	hypothetical protein lpg0134
chr	NC_002942.5	157650	163277	-	19831702	sdhB	lpg0135	YP_094189.1	1875	-	hypothetical protein lpg0135
chr	NC_002942.5	163368	164792	-	19831703	pykA	lpg0136	YP_094190.1	474	-	pyruvate kinase II
chr	NC_002942.5	164776	165966	-	19831704	pgk	lpg0137	YP_094191.1	396	-	phosphoglycerate kinase
chr	NC_002942.5	165977	167005	-	19831705	gap	lpg0138	YP_094192.1	342	-	glyceraldehyde 3-phosphate dehydrogenase
chr	NC_002942.5	167051	169129	-	19831706	tktA	lpg0139	YP_094193.1	692	-	transketolase
chr	NC_002942.5	169315	170649	+	19831707	-	lpg0140	YP_094194.1	444	-	hypothetical protein lpg0140
chr	NC_002942.5	170703	172763	+	19831708	-	lpg0141	YP_094195.1	686	-	oligopeptidase A
chr	NC_002942.5	173401	174849	+	19831709	-	lpg0142	YP_094196.1	482	-	IS4 family transposase TnpA
chr	NC_002942.5	174882	176057	-	19831710	-	lpg0144	YP_094197.1	391	-	transposase TnpA or TnpA2
chr	NC_002942.5	174882	175442	-	19831712	-	lpg0143	YP_094198.1	186	-	transposase (01), TnpA
chr	NC_002942.5	176091	176453	-	19831711	ccrB	lpg0145	YP_094199.1	120	-	site specific recombinase
chr	NC_002942.5	176652	176885	-	19831713	-	lpg0146	YP_094200.1	77	-	transposase B, TnpA
chr	NC_002942.5	177533	177826	-	19831714	-	lpg0147	YP_094201.1	97	-	transposase, IS911
chr	NC_002942.5	178308	179678	+	19831715	-	lpg0148	YP_094202.1	456	-	hypothetical protein lpg0148
chr	NC_002942.5	179810	181150	-	19831716	-	lpg0149	YP_094203.1	446	-	hypothetical protein lpg0149
chr	NC_002942.5	181180	182550	-	19831717	-	lpg0150	YP_094204.1	456	-	hypothetical protein lpg0150
chr	NC_002942.5	182740	183804	+	19831718	-	lpg0151	YP_094205.1	354	-	hypothetical protein lpg0151
chr	NC_002942.5	184405	184920	+	19831719	-	lpg0152	YP_094206.1	171	-	hypothetical protein lpg0152
chr	NC_002942.5	185908	186222	-	19831720	-	lpg0153	YP_094207.1	104	-	hypothetical protein lpg0153
chr	NC_002942.5	187002	187889	+	19831721	-	lpg0154	YP_094208.1	295	-	hypothetical protein lpg0154
chr	NC_002942.5	188236	189114	-	19831722	-	lpg0155	YP_094209.1	292	-	sensory box protein
chr	NC_002942.5	189144	190304	-	19831723	-	lpg0156	YP_094210.1	386	-	signal transduction protein
chr	NC_002942.5	190331	191104	-	19831724	map-1	lpg0157	YP_094211.1	257	-	methionine aminopeptidase
chr	NC_002942.5	191073	191285	-	19831725	-	lpg0158	YP_094212.1	70	-	hypothetical protein lpg0158
chr	NC_002942.5	191460	191939	-	19831726	-	lpg0159	YP_094213.1	159	-	hypothetical protein lpg0159
chr	NC_002942.5	192160	193137	+	19831727	-	lpg0160	YP_094214.1	325	-	hypothetical protein lpg0160
chr	NC_002942.5	193391	193852	-	19831728	-	lpg0161	YP_094215.1	153	-	hypothetical protein lpg0161
chr	NC_002942.5	194022	194303	+	19831729	-	lpg0162	YP_094216.1	93	-	protein SapA-like
chr	NC_002942.5	194761	195582	+	19831730	-	lpg0163	YP_094217.1	273	-	alpha/beta hydrolase
chr	NC_002942.5	194901	195011	-	19831731	-	lpg0164	YP_094218.1	36	-	hypothetical protein lpg0164
chr	NC_002942.5	195663	196118	-	19831732	-	lpg0165	YP_094219.1	151	-	hypothetical protein lpg0165
chr	NC_002942.5	196286	197170	-	19831733	-	lpg0166	YP_094220.1	294	-	hypothetical protein lpg0166
chr	NC_002942.5	197445	197855	-	19831734	-	lpg0167	YP_094221.1	136	-	peptide chain release factor
chr	NC_002942.5	197956	198681	-	19831735	-	lpg0168	YP_094222.1	241	-	hypothetical protein lpg0168
chr	NC_002942.5	198678	199463	-	19831736	-	lpg0169	YP_094223.1	261	-	transmembrane protein
chr	NC_002942.5	199432	200187	-	19831737	-	lpg0170	YP_094224.1	251	-	ABC transporter permease
chr	NC_002942.5	200453	201019	-	19831738	legU1	lpg0171	YP_094225.1	188	-	hypothetical protein lpg0171
chr	NC_002942.5	201209	201934	+	19831739	-	lpg0172	YP_094226.1	241	-	hypothetical protein lpg0172
chr	NC_002942.5	202064	202924	-	19831740	oxyR	lpg0173	YP_094227.1	286	-	LysR family transcriptional regulator
chr	NC_002942.5	203005	204084	+	19831741	pvcA	lpg0174	YP_094228.1	359	-	pyoverdine biosynthesis protein PvcA
chr	NC_002942.5	204074	204910	+	19831742	-	lpg0175	YP_094229.1	278	-	pyoverdine biosynthesis protein PvcB
chr	NC_002942.5	204907	206349	+	19831743	-	lpg0176	YP_094230.1	480	-	hypothetical protein lpg0176
chr	NC_002942.5	206346	207494	+	19831744	-	lpg0177	YP_094231.1	382	-	chloramphenicol resistance protein
chr	NC_002942.5	207491	208723	+	19831745	-	lpg0178	YP_094232.1	410	-	hypothetical protein lpg0178
chr	NC_002942.5	208880	209854	+	19831746	-	lpg0179	YP_094233.1	324	-	O-methyltransferase
chr	NC_002942.5	209967	210809	-	19831747	htpX	lpg0180	YP_094234.1	280	-	M48 family peptidase
chr	NC_002942.5	211023	211934	+	19831748	-	lpg0181	YP_094235.1	303	-	hypothetical protein lpg0181
chr	NC_002942.5	211981	212433	-	19831749	-	lpg0182	YP_094236.1	150	-	hypothetical protein lpg0182
chr	NC_002942.5	212762	214258	+	19831750	-	lpg0183	YP_094237.1	498	-	amine oxidase
chr	NC_002942.5	214503	215387	-	19831751	-	lpg0184	YP_094238.1	294	-	sugar ABC transporter substrate-binding protein
chr	NC_002942.5	215391	216131	-	19831752	-	lpg0185	YP_094239.1	246	-	sugar ABC transporter ATP-binding protein
chr	NC_002942.5	216128	217069	-	19831753	-	lpg0186	YP_094240.1	313	-	ABC sugar transporter permease
chr	NC_002942.5	217228	218655	+	19831754	-	lpg0187	YP_094241.1	475	-	hypothetical protein lpg0187
chr	NC_002942.5	218775	219851	+	19831755	-	lpg0188	YP_094242.1	358	-	acyl CoA transferase/carnitine dehydratase
chr	NC_002942.5	219993	220859	-	19831756	-	lpg0189	YP_094243.1	288	-	hypothetical protein lpg0189
chr	NC_002942.5	220962	221183	-	19831757	-	lpg0190	YP_094244.1	73	-	hypothetical protein lpg0190
chr	NC_002942.5	221236	222189	+	19831758	-	lpg0191	YP_094245.1	317	-	hypothetical protein lpg0191
chr	NC_002942.5	222394	222978	-	19831759	-	lpg0192	YP_094246.1	194	-	heat shock hsp20
chr	NC_002942.5	223101	223295	-	19831760	-	lpg0193	YP_094247.1	64	-	hypothetical protein lpg0193
chr	NC_002942.5	223447	225696	-	19831761	-	lpg0194	YP_094248.1	749	-	catalase/(hydro)peroxidase KatG
chr	NC_002942.5	225828	226832	-	19831762	-	lpg0195	YP_094249.1	334	-	hypothetical protein lpg0195
chr	NC_002942.5	227034	228308	-	19831763	-	lpg0196	YP_094250.1	424	-	hypothetical protein lpg0196
chr	NC_002942.5	228667	228984	+	19831764	-	lpg0197	YP_094251.1	105	-	hypothetical protein lpg0197
chr	NC_002942.5	229092	230123	+	19831765	-	lpg0198	YP_094252.1	343	-	hypothetical protein lpg0198
chr	NC_002942.5	230239	231609	+	19831766	cydA	lpg0199	YP_094253.1	456	-	cytochrome D ubiquinol oxidase subunit I
chr	NC_002942.5	231609	232598	+	19831767	qxtB	lpg0200	YP_094254.1	329	-	hypothetical protein lpg0200
chr	NC_002942.5	232599	233384	-	19831768	-	lpg0201	YP_094255.1	261	-	hypothetical protein lpg0201
chr	NC_002942.5	233381	233917	-	19831769	-	lpg0202	YP_094256.1	178	-	hypothetical protein lpg0202
chr	NC_002942.5	233907	235694	-	19831770	yfhG	lpg0203	YP_094257.1	595	-	hypothetical protein lpg0203
chr	NC_002942.5	235777	236475	+	19831771	-	lpg0204	YP_094258.1	232	-	2-deoxy-D-gluconate 3-dehydrogenase
chr	NC_002942.5	236492	238030	+	19831772	-	lpg0205	YP_094259.1	512	-	hypothetical protein lpg0205
chr	NC_002942.5	238035	238448	-	19831773	-	lpg0206	YP_094260.1	137	-	hypothetical protein lpg0206
chr	NC_002942.5	238464	238634	+	19831774	-	lpg0207	YP_094261.1	56	-	hypothetical protein lpg0207
chr	NC_002942.5	238638	241697	+	19831775	pkn5	lpg0208	YP_094262.1	1019	-	serine/threonine-protein kinase
chr	NC_002942.5	241716	243683	+	19831776	-	lpg0209	YP_094263.1	655	-	hypothetical protein lpg0209
chr	NC_002942.5	243721	244344	+	19831777	-	lpg0210	YP_094264.1	207	-	hypothetical protein lpg0210
chr	NC_002942.5	244591	244992	-	19831778	tspO	lpg0211	YP_094265.1	133	-	tryptophan rich sensory protein TspO
chr	NC_002942.5	245097	246512	-	19831779	phrB	lpg0212	YP_094266.1	471	-	deoxyribodipyrimidine photolyase
chr	NC_002942.5	246607	247314	-	19831780	-	lpg0213	YP_094267.1	235	-	inner membrane protein, LrgB family protein
chr	NC_002942.5	247292	247900	-	19831781	-	lpg0214	YP_094268.1	202	-	murein hydrolase exporter, LrgA family protein
chr	NC_002942.5	247787	248671	+	19831782	-	lpg0215	YP_094269.1	294	-	LysR family transcriptional regulator
chr	NC_002942.5	248791	249003	+	19831783	-	lpg0216	YP_094270.1	70	-	hypothetical protein lpg0216
chr	NC_002942.5	249089	250168	-	19831784	purK	lpg0217	YP_094271.1	359	-	phosphoribosylaminoimidazole carboxylase ATPase subunit
chr	NC_002942.5	250165	250665	-	19831785	purE	lpg0218	YP_094272.1	166	-	phosphoribosylaminoimidazole carboxylase, catalytic subunit PurE
chr	NC_002942.5	250725	251579	-	19831786	-	lpg0219	YP_094273.1	284	-	hypothetical protein lpg0219
chr	NC_002942.5	251589	251942	-	19831787	-	lpg0220	YP_094274.1	117	-	hypothetical protein lpg0220
chr	NC_002942.5	251956	254244	-	19831788	-	lpg0221	YP_094275.1	762	-	hypothetical protein lpg0221
chr	NC_002942.5	254259	255779	-	19831789	-	lpg0222	YP_094276.1	506	-	NADH dehydrogenase subunit 5
chr	NC_002942.5	255881	256732	+	19831790	-	lpg0223	YP_094277.1	283	-	LysR family transcriptional regulator
chr	NC_002942.5	256774	258363	+	19831791	-	lpg0224	YP_094278.1	529	-	toxin secretion ABC transporter ATP-binding protein
chr	NC_002942.5	258360	259346	+	19831792	-	lpg0225	YP_094279.1	328	-	RND efflux membrane fusion protein
chr	NC_002942.5	259343	260740	+	19831793	-	lpg0226	YP_094280.1	465	-	multidrug efflux protein, outer membrane component
chr	NC_002942.5	260923	262029	+	19831794	-	lpg0227	YP_094281.1	368	-	hypothetical protein lpg0227
chr	NC_002942.5	262200	263765	-	19831795	-	lpg0228	YP_094282.1	521	-	amino acid permease
chr	NC_002942.5	263913	264746	-	19831796	-	lpg0229	YP_094283.1	277	-	heme oxygenase
chr	NC_002942.5	264958	267087	-	19831797	pleD	lpg0230	YP_094284.1	709	-	sensor histidine kinase
chr	NC_002942.5	267234	269792	-	19831798	-	lpg0231	YP_094285.1	852	-	heavy metal transporting P-type ATPase, cation transporting
chr	NC_002942.5	270036	270569	+	19831799	np20	lpg0232	YP_094286.1	177	-	transcriptional regulator np20
chr	NC_002942.5	270686	272278	-	19831800	mdlC	lpg0233	YP_094287.1	530	-	benzoylformate decarboxylase
chr	NC_002942.5	272577	277121	-	19831801	sidE	lpg0234	YP_094288.1	1514	-	protein SidE
chr	NC_002942.5	277484	277987	-	19831802	-	lpg0235	YP_094289.1	167	-	hypothetical protein lpg0235
chr	NC_002942.5	278060	280039	-	19831803	-	lpg0236	YP_094290.1	659	-	hypothetical protein lpg0236
chr	NC_002942.5	280320	281114	+	19831804	mhpC	lpg0237	YP_094291.1	264	-	lipolytic protein
chr	NC_002942.5	281131	282597	+	19831805	gbsA	lpg0238	YP_094292.1	488	-	glycine betaine aldehyde dehydrogenase
chr	NC_002942.5	282572	283924	+	19831806	gabT	lpg0239	YP_094293.1	450	-	4-aminobutyrate aminotransferase
chr	NC_002942.5	284008	284787	+	19831807	recN	lpg0240	YP_094294.1	259	-	DNA repair protein
chr	NC_002942.5	285047	285979	+	19831808	-	lpg0241	YP_094295.1	310	-	glutaminase
chr	NC_002942.5	286103	286990	+	19831809	serA	lpg0242	YP_094296.1	295	-	D-3-phosphoglycerate dehydrogenase
chr	NC_002942.5	287203	287802	-	19831810	-	lpg0243	YP_094297.1	199	-	short chain dehydrogenase
chr	NC_002942.5	288008	289402	-	19831811	-	lpg0244	YP_094298.1	464	-	pyridine nucleotide-disulfide oxidoreductase
